race_id,race_date,venue,race_no,race_name,win_rank,gate_no,horse_no,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,15.0,1,1,サンストックトン,高杉吏麒,様子見,D,25.07,0.0044,0.0342,0.0589
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,1.0,5,5,ニューオーリンズ,和田陽希,軸,S,57.83,0.1332,0.7494,0.7976
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,2.0,4,4,ゲイルライダー,武豊,複勝圏,A,52.93,0.1301,0.7214,0.7226
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,3.0,15,15,タマモティーカップ,永島まな,能力注,B,49.62,0.1187,0.6816,0.6944
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,4.0,16,16,ルークススペイ,川田将雅,様子見,C,48.71,0.1079,0.6346,0.6642
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,5.0,9,9,ダノンスウィッチ,坂井瑠星,様子見,C,42.19,0.1021,0.5555,0.5559
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,6.0,12,12,セミマル,西村淳也,様子見,C,44.23,0.0862,0.5364,0.5805
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,7.0,14,14,イリフィ,ルメール,様子見,D,38.07,0.0745,0.4271,0.4573
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,8.0,11,11,ガンウルフ,高杉吏麒,様子見,D,35.73,0.0547,0.356,0.3835
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,9.0,7,7,タガノシャーンス,幸英明,様子見,D,31.61,0.0513,0.2815,0.2815
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,10.0,13,13,リネアグローリア,岩田望来,様子見,D,32.57,0.0329,0.2205,0.2824
